category,url,job_id,has_detail_section,detail_section_name,ville,departement,type_contrat,salaire,periode,niveau_etudes,experience,title,company,voir_plus_clicked,full_description,description_length,competences,nb_competences,remote,secteur,scraped_at,extraction_detailed,published_date,skip_reason,error
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73787329.html,73787329,True,Les missions du poste,Angers,49,Alternance,"621,60 € / an",2 ans,"BEP, CAP",,"Alternance - BTS Management Commercial Opérationnel Mco H/F
IFAG Angers",IFAG Angers,True,,0.0,,0.0,False,,2025-12-17T11:47:12.283031,True,,,
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73787304.html,73787304,True,Les missions du poste,Angers,49,Alternance,"621,60 € / an",2 ans,"BEP, CAP",,"Alternance - BTS Management Commercial Opérationnel Mco H/F
IFAG Angers",IFAG Angers,True,,0.0,,0.0,False,,2025-12-17T11:47:22.527003,True,,,
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73787301.html,73787301,True,Les missions du poste,France,95,CDI,"999,98 € / an",5 ans,Bac +2,,"Commercial Overseas Aérien H/F
LEAN JOB",LEAN JOB,True,,0.0,,0.0,False,,2025-12-17T11:47:33.714935,True,il y a 23 jours,,
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73787300.html,73787300,True,Les missions du poste,France,95,CDI,50 000 - 55 000 € / an,5 ans,Bac +2,,"Commercial Overseas Aérien H/F
LEAN JOB",LEAN JOB,True,,0.0,,0.0,False,"Géographique large (IDF au départ, mais toute France si tu le souhaites)",2025-12-17T11:47:45.017354,True,il y a 23 jours,,
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73787295.html,73787295,True,Les missions du poste,France,95,CDI,65 000 - 90 000 € / an,6 ans,,6 ans,"Commercial·e Overseas Senior H/F
LEAN JOB",LEAN JOB,True,,0.0,,0.0,True,,2025-12-17T11:47:55.853376,True,il y a 23 jours,,
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73787293.html,73787293,True,Les missions du poste,Havre,76,CDI,55 000 - 85 000 € / an,6 ans,,6 ans,"Commercial·e Overseas Senior H/F
LEAN JOB",LEAN JOB,True,,0.0,,0.0,True,,2025-12-17T11:48:08.158390,True,,,
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73787276.html,73787276,True,Les missions du poste,Angers,49,Alternance,"621,60 € / an",2 ans,"BEP, CAP",,"Alternance - BTS Management Commercial Opérationnel Mco H/F
IFAG Angers",IFAG Angers,True,,0.0,,0.0,False,,2025-12-17T11:48:22.010731,True,,,
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73787263.html,73787263,True,Détail du poste,Normandie,14,CDI,32 000 - 42 000 € / an,,Bac +3,,"Chargé de Clientèle Particuliers H/F
Caisse d'Epargne Normandie",Caisse d'Epargne Normandie,True,,0.0,,0.0,True,associatif en Normandie.,2025-12-17T11:48:49.965763,True,il y a 25 jours,,
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73787249.html,73787249,True,Détail du poste,Lille,59,CDI,24 000 - 32 000 € / an,2 ans,Bac +3,,"Chargé de Clientèle Professionnels H/F
Caisse d'Epargne Hauts de France",Caisse d'Epargne Hauts de France,True,,0.0,,0.0,True,,2025-12-17T11:49:04.277979,True,il y a 29 jours,,
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73787246.html,73787246,True,Détail du poste,Strasbourg,67,CDI,24 240 - 26 046 € / an,,Bac +3,,"Gestionnaire Clientèle - BTP Banque Strasbourg- CDI H/F
Crédit Coopératif",Crédit Coopératif,True,,0.0,,0.0,True,"des entreprises vous a offert l'opportunité de prouver votre sens de l'organisation, votre sens du s",2025-12-17T11:49:13.837467,True,il y a 28 jours,,
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73787239.html,73787239,True,Détail du poste,Wavrin,59,CDI,28 000 - 39 000 € / an,2 ans,Bac +3,,"Chargé de Clientèle Particuliers H/F
Caisse d'Epargne Hauts de France",Caisse d'Epargne Hauts de France,True,,0.0,,0.0,True,Valenciennes H/F,2025-12-17T11:49:22.983844,True,il y a 12 jours,,
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73787233.html,73787233,True,Les missions du poste,Orliénas,69,Freelance,2 500 - 8 000 € / mois,7 ans,Bac,1 à 7 ans,"Conseiller Commercial H/F
Groupement Interprofessionnel Européen d'Assurances (GIEA)",Groupement Interprofessionnel Européen d'Assurances (GIEA),True,,0.0,,0.0,True,,2025-12-17T11:49:32.394050,True,il y a 24 jours,,
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73787218.html,73787218,True,Détail du poste,Souffelweyersheim,67,CDI,45 000 - 72 500 € / an,7 ans,Bac +2,,"Compte Clé Territorial H/F
METRO France",METRO France,True,,0.0,,0.0,True,", le compte clé territorial assure la prise de marché et l'atteinte des objectifs commerciaux sur le",2025-12-17T11:50:02.786979,True,il y a 28 jours,,
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73787214.html,73787214,True,Détail du poste,Linselles,59,CDI,28 000 - 31 000 € / an,2 ans,Bac +3,,"Chargé de Clientèle Particuliers H/F
Caisse d'Epargne Hauts de France",Caisse d'Epargne Hauts de France,True,,0.0,,0.0,True,,2025-12-17T11:50:12.985721,True,il y a 8 jours,,
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73787197.html,73787197,True,Détail du poste,Leers,59,CDI,27 000 - 36 000 € / an,2 ans,Bac +3,,"Chargé de Clientèle Particuliers H/F
Caisse d'Epargne Hauts de France",Caisse d'Epargne Hauts de France,True,,0.0,,0.0,True,,2025-12-17T11:50:23.397033,True,il y a 8 jours,,
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73787187.html,73787187,True,Les missions du poste,Souffelweyersheim,67,CDI,31 000 - 45 000 € / an,,Bac +2,,"Commercial Itinérant H/F
METRO France",METRO France,True,,0.0,,0.0,True,"(environ 90 clients professionnels des cafés, hôtels, restaurants (métiers de bouches)) en étant à l",2025-12-17T11:50:37.599160,True,il y a 26 jours,,
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73787186.html,73787186,True,Détail du poste,Comines,59,CDI,27 000 - 36 000 € / an,2 ans,Bac +3,,"Chargé de Clientèle Particuliers H/F
Caisse d'Epargne Hauts de France",Caisse d'Epargne Hauts de France,True,,0.0,,0.0,True,,2025-12-17T11:50:46.817457,True,il y a 8 jours,,
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73787154.html,73787154,True,Détail du poste,Wattrelos,59,CDI,28 000 - 31 000 € / an,2 ans,Bac +3,,"Chargé de Clientèle Particuliers H/F
Caisse d'Epargne Hauts de France",Caisse d'Epargne Hauts de France,True,,0.0,,0.0,True,Valenciennes H/F,2025-12-17T11:50:57.658743,True,il y a 8 jours,,
