category,url,job_id,title,company,location,contract_type,salary,published_date,short_description,remote,experience,scraped_at
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73738421.html,73738421,Représentant de Point de Vente H/F,Harry Hope,,,,,,False,,2025-12-16T10:23:10.483907
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73738413.html,73738413,Chargé de Développement Commercial H/F,Harry Hope,,,,,,False,,2025-12-16T10:23:11.164471
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73738301.html,73738301,Assistant Commercial H/F,Initial RH,,,,,,False,,2025-12-16T10:23:11.715343
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73738275.html,73738275,Technico-Commercial,Technico-Commerciale Bâtiment H/F,,,,,,False,,2025-12-16T10:23:12.228641
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73738270.html,73738270,Technicien d'Affaires Électricité H/F,Temporis Experts et Cadres,,,,,,False,,2025-12-16T10:23:12.802893
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73738239.html,73738239,Commercial Sedentaire H/F,Temporis Interim,,,,,,False,,2025-12-16T10:23:13.339503
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73738222.html,73738222,Commercial,Commerciale Sédentaire B To B H/F,,,,,,False,,2025-12-16T10:23:13.868822
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73738168.html,73738168,Consultant Commercial en Recrutement H/F,Valoris Développement franchiseur du réseau Temporis,24 000 - 30 000 € / an,CDI,24 000 - 30 000 € / an,moins d'une heure,"Consultant Commercial en Recrutement H/F
Valoris Développement franchiseur du réseau Temporis
Reims - 51
CDI
24 000 - 30 000 € / an
... en 37,5h et une prise de poste dès que possible, - une rémunération fixe comprise entre 24k et 30k...
Voir l’offre
moins d'une heure",False,,2025-12-16T10:23:14.375688
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73738145.html,73738145,Chargé d'Affaires Instrumentation Forages H/F,SUEZ,Lyon 9e - 69,CDI,,moins d'une heure,"Chargé d'Affaires Instrumentation Forages H/F
SUEZ
Lyon 9e - 69
CDI
Télétravail partiel
... Opération : création de puits et forages d'eau, diagnostics et travaux de maintenance sur les captages ; - Sondalp Tech...
Voir l’offre
moins d'une heure",True,,2025-12-16T10:23:14.800364
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73737983.html,73737983,Conseiller Clientele Retraite Complementaire H/F,,12 - 13 € / heure,CDI,12 - 13 € / heure,moins d'une heure,"Conseiller Clientele Retraite Complementaire H/F
Cette entreprise souhaite rester anonyme
Nice - 06
CDI
12 - 13 € / heure
... souhaitez valoriser une première expérience en gestion et relation clients. Vous avez une réelle appétence pour la relation et l'accompagnement...
Voir l’offre
moins d'une he",False,,2025-12-16T10:23:15.319905
