category,contract_type,remote,experience_years,department,department_num,salary_unit,salary_category,std_department_num,std_experience_years,std_remote,category_Emploi Commerce,category_Emploi Comptabilité,category_Emploi Distribution,category_Emploi Ressources Humaines,contract_type_Alternance,contract_type_CDD,contract_type_CDI,contract_type_Intérim,contract_type_Stage,contract_type_Temps partiel,salary_unit_annual,salary_unit_hourly,salary_unit_monthly
Emploi Commerce,CDI,0,3.0,Non précisé,-1,annual,Moyen,-0.37398515299487073,-0.03585605793052774,-0.5220818369225695,True,False,False,False,False,False,True,False,False,False,True,False,False
Emploi Commerce,CDI,0,3.0,Non précisé,-1,hourly,Bas,-0.37398515299487073,-0.03585605793052774,-0.5220818369225695,True,False,False,False,False,False,True,False,False,False,False,True,False
Emploi Commerce,CDI,0,3.0,Non précisé,-1,annual,Haut,-0.37398515299487073,-0.03585605793052774,-0.5220818369225695,True,False,False,False,False,False,True,False,False,False,True,False,False
Emploi Commerce,CDI,0,3.0,Non précisé,-1,annual,Bas,-0.37398515299487073,-0.03585605793052774,-0.5220818369225695,True,False,False,False,False,False,True,False,False,False,True,False,False
Emploi Commerce,CDI,0,3.0,Non précisé,-1,annual,Haut,-0.37398515299487073,-0.03585605793052774,-0.5220818369225695,True,False,False,False,False,False,True,False,False,False,True,False,False
Emploi Commerce,CDI,0,3.0,Non précisé,-1,annual,Haut,-0.37398515299487073,-0.03585605793052774,-0.5220818369225695,True,False,False,False,False,False,True,False,False,False,True,False,False
Emploi Commerce,CDI,0,3.0,Non précisé,-1,annual,Moyen,-0.37398515299487073,-0.03585605793052774,-0.5220818369225695,True,False,False,False,False,False,True,False,False,False,True,False,False
Emploi Commerce,CDI,0,3.0,Non précisé,-1,annual,Haut,-0.37398515299487073,-0.03585605793052774,-0.5220818369225695,True,False,False,False,False,False,True,False,False,False,True,False,False
Emploi Commerce,CDI,0,3.0,15,15,monthly,Bas,0.38289109796696597,-0.03585605793052774,-0.5220818369225695,True,False,False,False,False,False,True,False,False,False,False,False,True
Emploi Commerce,CDI,0,3.0,Non précisé,-1,annual,Bas,-0.37398515299487073,-0.03585605793052774,-0.5220818369225695,True,False,False,False,False,False,True,False,False,False,True,False,False
Emploi Commerce,CDD,0,3.0,Non précisé,-1,annual,Haut,-0.37398515299487073,-0.03585605793052774,-0.5220818369225695,True,False,False,False,False,True,False,False,False,False,True,False,False
Emploi Commerce,CDI,1,3.0,Non précisé,-1,annual,Haut,-0.37398515299487073,-0.03585605793052774,1.9154085227222932,True,False,False,False,False,False,True,False,False,False,True,False,False
Emploi Commerce,Alternance,0,3.0,34,34,monthly,Bas,1.2816816459841471,-0.03585605793052774,-0.5220818369225695,True,False,False,False,True,False,False,False,False,False,False,False,True
Emploi Commerce,CDI,0,3.0,Non précisé,-1,annual,Haut,-0.37398515299487073,-0.03585605793052774,-0.5220818369225695,True,False,False,False,False,False,True,False,False,False,True,False,False
Emploi Commerce,CDI,0,3.0,Non précisé,-1,monthly,Haut,-0.37398515299487073,-0.03585605793052774,-0.5220818369225695,True,False,False,False,False,False,True,False,False,False,False,False,True
Emploi Commerce,Alternance,0,3.0,34,34,monthly,Bas,1.2816816459841471,-0.03585605793052774,-0.5220818369225695,True,False,False,False,True,False,False,False,False,False,False,False,True
Emploi Commerce,CDI,0,3.0,Non précisé,-1,annual,Moyen,-0.37398515299487073,-0.03585605793052774,-0.5220818369225695,True,False,False,False,False,False,True,False,False,False,True,False,False
Emploi Commerce,Alternance,1,3.0,Non précisé,-1,monthly,Bas,-0.37398515299487073,-0.03585605793052774,1.9154085227222932,True,False,False,False,True,False,False,False,False,False,False,False,True
Emploi Commerce,Intérim,0,3.0,Non précisé,-1,annual,Moyen,-0.37398515299487073,-0.03585605793052774,-0.5220818369225695,True,False,False,False,False,False,False,True,False,False,True,False,False
Emploi Commerce,CDI,0,3.0,Non précisé,-1,monthly,Haut,-0.37398515299487073,-0.03585605793052774,-0.5220818369225695,True,False,False,False,False,False,True,False,False,False,False,False,True
Emploi Commerce,CDI,0,3.0,Non précisé,-1,monthly,Haut,-0.37398515299487073,-0.03585605793052774,-0.5220818369225695,True,False,False,False,False,False,True,False,False,False,False,False,True
Emploi Commerce,Alternance,0,3.0,Non précisé,-1,monthly,Bas,-0.37398515299487073,-0.03585605793052774,-0.5220818369225695,True,False,False,False,True,False,False,False,False,False,False,False,True
Emploi Commerce,CDI,0,3.0,Non précisé,-1,monthly,Bas,-0.37398515299487073,-0.03585605793052774,-0.5220818369225695,True,False,False,False,False,False,True,False,False,False,False,False,True
Emploi Commerce,CDI,0,3.0,83,83,annual,Moyen,3.599615164554772,-0.03585605793052774,-0.5220818369225695,True,False,False,False,False,False,True,False,False,False,True,False,False
Emploi Commerce,CDI,1,3.0,Non précisé,-1,annual,Haut,-0.37398515299487073,-0.03585605793052774,1.9154085227222932,True,False,False,False,False,False,True,False,False,False,True,False,False
Emploi Commerce,CDI,1,3.0,Non précisé,-1,annual,Haut,-0.37398515299487073,-0.03585605793052774,1.9154085227222932,True,False,False,False,False,False,True,False,False,False,True,False,False
Emploi Commerce,CDI,0,3.0,Non précisé,-1,annual,Haut,-0.37398515299487073,-0.03585605793052774,-0.5220818369225695,True,False,False,False,False,False,True,False,False,False,True,False,False
Emploi Commerce,Alternance,0,3.0,Non précisé,-1,monthly,Bas,-0.37398515299487073,-0.03585605793052774,-0.5220818369225695,True,False,False,False,True,False,False,False,False,False,False,False,True
Emploi Commerce,CDI,1,3.0,Non précisé,-1,annual,Haut,-0.37398515299487073,-0.03585605793052774,1.9154085227222932,True,False,False,False,False,False,True,False,False,False,True,False,False
Emploi Commerce,CDI,1,3.0,Non précisé,-1,annual,Haut,-0.37398515299487073,-0.03585605793052774,1.9154085227222932,True,False,False,False,False,False,True,False,False,False,True,False,False
Emploi Commerce,CDI,1,3.0,Non précisé,-1,annual,Haut,-0.37398515299487073,-0.03585605793052774,1.9154085227222932,True,False,False,False,False,False,True,False,False,False,True,False,False
Emploi Commerce,CDI,1,3.0,Non précisé,-1,annual,Haut,-0.37398515299487073,-0.03585605793052774,1.9154085227222932,True,False,False,False,False,False,True,False,False,False,True,False,False
Emploi Commerce,CDD,0,3.0,29,29,hourly,Bas,1.0451578175585732,-0.03585605793052774,-0.5220818369225695,True,False,False,False,False,True,False,False,False,False,False,True,False
