category,title_clean,description_clean,contract_type,city,department,remote,salary_min,salary_max,salary_avg,salary_unit
Emploi Commerce,représentant de point de vente h f,,,Non précisé,N/A,0,,,,
Emploi Commerce,chargé de développement commercial h f,,,Non précisé,N/A,0,,,,
Emploi Commerce,assistant commercial h f,,,Non précisé,N/A,0,,,,
Emploi Commerce,technico-commercial,,,Non précisé,N/A,0,,,,
Emploi Commerce,technicien d'affaires électricité h f,,,Non précisé,N/A,0,,,,
Emploi Commerce,commercial sedentaire h f,,,Non précisé,N/A,0,,,,
Emploi Commerce,commercial,,,Non précisé,N/A,0,,,,
Emploi Commerce,consultant commercial en recrutement h f,consultant commercial en recrutement h f valoris développement franchiseur du réseau temporis reims - 51 cdi 24 000 - 30 000 an en 37 5h et une prise de poste dès que possible - une rémunération fixe comprise entre 24k et 30k voir l offre moins d'une heure,CDI,24 000,30 000 € / an,0,24000.0,30000.0,27000.0,annual
Emploi Commerce,chargé d'affaires instrumentation forages h f,chargé d'affaires instrumentation forages h f suez lyon 9e - 69 cdi télétravail partiel opération création de puits et forages d'eau diagnostics et travaux de maintenance sur les captages - sondalp tech voir l offre moins d'une heure,CDI,Lyon 9e,69,1,,,,
Emploi Commerce,conseiller clientele retraite complementaire h f,conseiller clientele retraite complementaire h f cette entreprise souhaite rester anonyme nice - 06 cdi 12 - 13 heure souhaitez valoriser une première expérience en gestion et relation clients vous avez une réelle appétence pour la relation et l'accompagnement voir l offre moins d'une he,CDI,12,13 € / heure,0,19740.0,21385.0,20562.5,hourly
Emploi Commerce,directeur des ventes associé - projet international immersif et iconique h f,directeur des ventes associé - projet international immersif et iconique h f michael page paris 15e - 75 cdi 90 000 - 95 000 an vous êtes diplômé e d'un bac 5 minimum en commerce en vente et management dans le secteur du voir l offre il y a 1 heure,CDI,90 000,95 000 € / an,0,90000.0,95000.0,92500.0,annual
Emploi Commerce,assistant commercial h f,assistant commercial h f page personnel tours - 37 cdi 24 000 - 27 000 an également ouvert aux candidats en situation de handicap entreprise familale ou l'entraide implications et l'autonomie sont les maitres mots voir l offre il y a 1 heure,CDI,24 000,27 000 € / an,0,24000.0,27000.0,25500.0,annual
Emploi Commerce,chargé d'affaires h f,chargé d'affaires h f michael page versailles - 78 cdi 45 000 - 50 000 an formation bac 2 minimum en commerce maîtrise des outils bureautiques voir l offre il y a 1 heure,CDI,45 000,50 000 € / an,0,45000.0,50000.0,47500.0,annual
Emploi Commerce,commercial powertools enseignes h f,commercial powertools enseignes h f page personnel montpellier - 34 cdi 45 000 - 50 000 an techniques de ventes le tout avec le sens du commerce rejoignez une équipe dynamique et booster votre carrière voir l offre il y a 1 heure,CDI,45 000,50 000 € / an,0,45000.0,50000.0,47500.0,annual
Emploi Commerce,conseiller clients h f,conseiller clients h f skills vendée poitou-charentes luçon - 85 cdi 32 000 - 38 000 an de en finance comptabilité ou économie licence master iae école de commerce ou équivalent vous justifiez idéalement de 3 ans voir l offre il y a 1 heure,CDI,32 000,38 000 € / an,0,32000.0,38000.0,35000.0,annual
Emploi Commerce,responsable de portefeuille clients - autonome h f,responsable de portefeuille clients - autonome h f skills nice nice - 06 cdi 35 000 - 40 000 an terme - excellentes compétences rédactionnelles et communication orale - maîtrise des outils bureautiques et logiciels spécifiques au métier de l'audit voir l offre il y a 1 heure,CDI,35 000,40 000 € / an,0,35000.0,40000.0,37500.0,annual
Emploi Commerce,manager intégration logistique et approvisionnement - mission fy26 h f,manager intégration logistique et approvisionnement - mission fy26 h f ikea fos-sur-mer - 13 cdd pour le plus grand nombre tout en améliorant l'expérience client nous sommes une équipe constituée de femmes voir l offre il y a 2 heures,CDD,Fos-sur-Mer,13,0,,,,
Emploi Commerce,technico commercial 02-08 h f,technico commercial 02-08 h f de graët consulting aisne - 02 cdi ou indirects afin construire un portefeuille de professionnels du bâtiment - développer le chiffre d'affaires tout en veillant aux marges voir l offre il y a 2 heures,CDI,Aisne,02,0,,,,
Emploi Commerce,commercial chr - cdi - saint-flour 15 h f,commercial chr - cdi - saint-flour 15 h f heineken saint-flour - 15 cdi 2 200 mois des animations dédiées vos atouts de formation niveau bac 2 orienté commerce réussie en tant que commercial e terrain b to b voir l offre il y a 3 heures,CDI,Saint-Flour,15,0,26400.0,26400.0,26400.0,monthly
Emploi Commerce,conseiller clients h f,conseiller clients h f supplay saint-herblain - 44 cdi 20 000 - 25 000 an interne pour tous les postes à pourvoir dans nos différents métiers avec des parcours de formation adaptés pour vous accompagner voir l offre il y a 3 heures,CDI,20 000,25 000 € / an,0,20000.0,25000.0,22500.0,annual
Emploi Commerce,commercial sédentaire en agence btp - négoce h f,commercial sédentaire en agence btp - négoce h f slash intérim retournac - 43 cdi intérim premier réseau de recruteur indépendant recherche pour l'un de nos partenaires un commercial sédentaire h f basé à saint-priest 69800 voir l offre moins d'une heure,CDI,Retournac,43,0,,,,
Emploi Commerce,commercial itinérant h f,commercial itinérant h f slash intérim saint-étienne - 42 cdi des fonctions similaires avec un focus sur le développement commercial - capacités relationnelles et engagement envers le voir l offre moins d'une heure,CDI,Saint-Étienne,42,0,,,,
Emploi Commerce,commercial sédentaire en agence btp - négoce h f,commercial sédentaire en agence btp - négoce h f slash intérim saint-priest - 69 cdi - excellentes compétences relationnelles et commerciales nous offrons voir l offre moins d'une heure,CDI,Saint-Priest,69,0,,,,
Emploi Commerce,commercial sédentaire secteur métallurgie h f,commercial sédentaire secteur métallurgie h f slash intérim feyzin - 69 cdd 35 000 - 45 000 an compétences en gestion de projets et en négociation commerciale une connaissance techniques et voir l offre moins d'une heure,CDD,35 000,45 000 € / an,0,35000.0,45000.0,40000.0,annual
Emploi Commerce,chargé de compte multirisques immeuble h f,chargé de compte multirisques immeuble h f effektiv marseille 6e - 13 cdi 35 000 - 40 000 an télétravail partiel vous avez le sens de la rigueur et une bonne capacité d'analyse vous voir l offre moins d'une heure,CDI,35 000,40 000 € / an,1,35000.0,40000.0,37500.0,annual
Emploi Commerce,commercial - imprimerie- alternance h f,commercial - imprimerie- alternance h f icfa campus saint françois montpellier - 34 alternance 1 801 80 mois 2 ans - jeune motivé e dynamique et curieux se - aisance relationnelle et goût prononcé pour la vente - autonomie persévérance voir l offre moins d'une heure,Alternance,Montpellier,34,0,21622.0,21622.0,21622.0,monthly
Emploi Commerce,commercial btob h f,commercial btob h f dalta sa draguignan - 83 cdi 24 015 - 63 000 an une filière commerciale et ou technique avec une expérience réussie d'au moins 2 ans dans la vente auprès des professionnels voir l offre moins d'une heure,CDI,24 015,63 000 € / an,0,24015.0,63000.0,43507.5,annual
Emploi Commerce,technico-commercial itinérant h f,technico-commercial itinérant h f slash intérim saint-ouen-l'aumône - 95 cdi 3 900 - 4 400 mois profil attendu - vous avez une connaissance approfondie dans le domaine voir l offre moins d'une heure,CDI,3 900,4 400 € / mois,0,46800.0,52800.0,49800.0,monthly
Emploi Commerce,responsable commercial nantes 44 h f,responsable commercial nantes 44 h f hunteo nantes - 44 cdi vente directe de produits finis - une capacité à développer de nouveaux comptes et à gérer des voir l offre moins d'une heure,CDI,Nantes,44,0,,,,
Emploi Commerce,stage - assistant commercial h f,stage - assistant commercial h f surfaces et volumes montpellier - 34 stage 2 mois aux équipes le profil que l'on recherche - étudiant e en commerce - organisé e rigoureux se et à l'aise avec l'administratif - voir l offre moins d'une heure,Stage,Montpellier,34,0,,,,
Emploi Commerce,assistant relation client - adv - alternance h f,assistant relation client - adv - alternance h f icfa campus saint françois montpellier - 34 alternance 1 801 80 mois 2 ans - niveau bac minimum stmg bac pro ga commerce - aisance relationnelle et goût du service voir l offre moins d'une heure,Alternance,Montpellier,34,0,21622.0,21622.0,21622.0,monthly
Emploi Commerce,conseiller clientèle trilingue anglais - allemand h f,conseiller clientèle trilingue anglais - allemand h f jobmania paris - 75 cdi 25 500 - 27 500 an vous aimez le contact humain savez faire preuve d'empathie et rassurer vos interlocuteurs - vous désirez analyser des situations voir l offre moins d'une heure,CDI,25 500,27 500 € / an,0,25500.0,27500.0,26500.0,annual
Emploi Commerce,commercial en alternance h f,commercial en alternance h f level hop nancy - 54 alternance 486 49 - 1 801 80 mois télétravail partiel 1 aucune expérience en commerce - bonne présentation voir l offre moins d'une heure,Alternance,"486,49","1 801,80 € / mois",1,5838.0,21622.0,13730.0,monthly
Emploi Commerce,adjoint - adjointe chargé d'affaires h f,adjoint - adjointe chargé d'affaires h f chaplain niort - 79 intérim 25 000 - 35 000 an 1 mois à des devis - suivi et retour d'informations auprès des clients commerce vente de pièces détachées - identification des besoins et voir l offre moins d'une heure,Intérim,25 000,35 000 € / an,0,25000.0,35000.0,30000.0,annual
Emploi Commerce,animateur commercial multi-sites h f,animateur commercial multi-sites h f 123 pare-brise super recruteur scionzier - 74 cdi 2 081 - 4 581 mois l'animation de réseau la gestion multi-sites la relation client ou le commerce terrain - le travail le samedi ne te pose pas de - voir l offre moins d'une heure,CDI,2 081,4 581 € / mois,0,24972.0,54972.0,39972.0,monthly
Emploi Commerce,animateur commercial multi-sites h f,animateur commercial multi-sites h f 123 pare-brise super recruteur epagny metz-tessy - 74 cdi 2 081 - 4 581 mois l'animation de réseau la gestion multi-sites la relation client ou le commerce terrain - le travail le samedi ne te pose pas de - voir l offre moins d'une heure,CDI,2 081,4 581 € / mois,0,24972.0,54972.0,39972.0,monthly
